[40, 135, 30.0, 27.22, [[], [1550.461648899171, 1555.850969393976, 1560.274119684199], [], []], [[], [1550.4599649848283, 1555.8440253796582, 1560.2688414163586], [], []]]
[40, 138, 30.06, 27.22, [[], [1550.4613281530999, 1555.8508079045591, 1560.2740384795609], [], []], [[], [1550.4600451714705, 1555.845155810602, 1560.268435389533], [], []]]
[40, 141, 30.17, 27.23, [[], [1550.4611677801474, 1555.8508886483876, 1560.2741196842835], [], []], [[], [1550.4601253572832, 1555.8459632500576, 1560.264943637932], [], []]]
[40, 144, 30.4, 27.22, [[], [1550.461007407195, 1555.8500811997128, 1560.2742820936442], [], []], [[], [1550.4603659168777, 1555.8474166498613, 1560.2676233526176], [], []]]
[40, 147, 30.87, 27.16, [[], [1550.4607668478493, 1555.8535532379651, 1560.2748505267034], [], []], [[], [1550.4599649843306, 1555.8483048430348, 1560.2680293675253], [], []]]
[40, 150, 31.4, 27.25, [[], [1550.4607668478493, 1555.8543606889025, 1560.2745257074744], [], []], [[], [1550.4599649842478, 1555.8488700497485, 1560.2690850366125], [], []]]
[40, 153, 31.83, 27.28, [[], [1550.4606064750626, 1555.8543606883998, 1560.274606912535], [], []], [[], [1550.4597244257316, 1555.8470936727883, 1560.2712775463747], [], []]]
[40, 156, 31.98, 27.23, [[], [1550.4609272208847, 1555.8539569627214, 1560.2743632981135], [], []], [[], [1550.4594838662194, 1555.8472551455266, 1560.2715211642621], [], []]]
[40, 159, 31.98, 27.23, [[], [1550.4608470342425, 1555.8552488864339, 1560.2750941407871], [], []], [[], [1550.4598046117096, 1555.8484663200472, 1560.2718459611767], [], []]]
[40, 162, 32.02, 27.25, [[], [1550.4603659158827, 1555.8554911236176, 1560.2753377553777], [], []], [[], [1550.4592433074542, 1555.8481433472487, 1560.2731452453615], [], []]]
[40, 165, 31.98, 27.25, [[], [1550.4606866614558, 1555.856460068665, 1560.274525707559], [], []], [[], [1550.4594838663022, 1555.8511309046798, 1560.274688124527], [], []]]
[40, 168, 31.93, 27.19, [[], [1550.4602857294894, 1555.8561370868988, 1560.274931731426], [], []], [[], [1550.4599649841648, 1555.8516961103878, 1560.2754189709199], [], []]]
[40, 171, 31.85, 27.22, [[], [1550.4602055431792, 1555.8556526138723, 1560.2750129359797], [], []], [[], [1550.4592433078692, 1555.8527458022804, 1560.2747693577353], [], []]]
[40, 174, 31.53, 27.25, [[], [1550.4603659158827, 1555.8560563424003, 1560.2746881174269], [], []], [[], [1550.4598847979373, 1555.8532302808385, 1560.2751753744176], [], []]]
[45, 135, 30.73, 27.2, [[], [1550.461292514666, 1555.8580301224777, 1560.2751212092533], [], []], [[], [1550.459323493765, 1555.8481433472487, 1560.2795604369671], [], []]]
[45, 138, 30.27, 27.2, [[], [1550.4611677802304, 1555.8573482693814, 1560.2750129361489], [], []], [[], [1550.459964984165, 1555.8482240856292, 1560.2802100788904], [], []]]
