[40, 135, 31.21, 28.01, [[], [1550.3593185744808, 1555.5304877694582, 1560.0398030464066, 1556.2954357036028, 1560.1814706355324], [], []]]
[40, 137, 32.04, 28.06, [[], [1550.3735169834554, 1555.6145789942677, 1560.1333079146223], [], []]]
[40, 139, 30.93, 28.06, [[], [1550.3736404767521, 1555.6205785367397, 1560.1348907860083], [], []]]
[40, 141, 30.45, 28.01, [[], [1550.3750871571422, 1555.6242460884491, 1560.1365851929975], [], []]]
[40, 143, 31.47, 27.99, [[], [1550.3774917461458, 1555.6280267856023, 1560.138576649698], [], []]]
[40, 145, 32.31, 28.03, [[], [1550.3821986011112, 1555.6339502741537, 1560.1355967908603], [], []]]
[40, 147, 31.42, 28.02, [[], [1550.3893972543212, 1555.6334940173442, 1560.133761206638], [], []]]
[40, 149, 30.68, 28.03, [[], [1550.391105034631, 1555.63348840719, 1560.1419970254683], [], []]]
[40, 151, 30.56, 27.96, [[], [1550.3871313151362, 1555.6348452319967, 1560.144880773778], [], []]]
[40, 153, 31.06, 27.99, [[], [1550.3868401952932, 1555.6407878071957, 1560.1510144528993], [], []]]
[40, 155, 31.94, 28.08, [[], [1550.3891602671054, 1555.6460949384875, 1560.1505998600398], [], []]]
[40, 157, 32.31, 27.98, [[], [1550.3919580069382, 1555.6478296391833, 1560.1540030125273], [], []]]
[40, 159, 32.21, 28.05, [[], [1550.3955575533532, 1555.6472456796048, 1560.1564733298576], [], []]]
[40, 161, 31.75, 27.98, [[], [1550.397707054072, 1555.6490662616593, 1560.158943658949], [], []]]
[40, 163, 31.16, 27.98, [[], [1550.3974326176008, 1555.6517971415299, 1560.1620370269109], [], []]]
[40, 165, 30.55, 28.02, [[], [1550.397240883126, 1555.655780718633, 1560.165337707196], [], []]]
[40, 167, 30.39, 27.98, [[], [1550.3973317442114, 1555.6593715196448, 1560.1705007474945], [], []]]
[40, 169, 30.49, 27.99, [[], [1550.3993673956588, 1555.665064112449, 1560.1743219759294], [], []]]
[40, 171, 30.69, 28.01, [[], [1550.4024351618498, 1555.667591178306, 1560.175698756409], [], []]]
[40, 173, 31.1, 27.93, [[], [1550.405746966859, 1555.6681702994317, 1560.1795643252894], [], []]]
[45, 135, 30.98, 27.93, [[], [1550.4074140007594, 1555.6664306978353, 1560.1811424033083], [], []]]
[45, 137, 30.75, 27.96, [[], [1550.4079087341972, 1555.6688696530523, 1560.1830081714165], [], []]]
[45, 139, 30.47, 27.92, [[], [1550.4073505833555, 1555.6741721256628, 1560.184418387944], [], []]]
[45, 141, 30.55, 27.96, [[], [1550.4073116422983, 1555.6807038372697, 1560.1876553087916], [], []]]
[45, 143, 30.48, 27.92, [[], [1550.4086055915386, 1555.6861934608119, 1560.1889900480971], [], []]]
[45, 145, 30.37, 27.95, [[], [1550.4109587325922, 1555.6898262205132, 1560.1920260709933], [], []]]
[45, 147, 30.5, 27.92, [[], [1550.4127889599233, 1555.688896090492, 1560.1942677947823], [], []]]
[45, 149, 30.57, 27.93, [[], [1550.4152467001988, 1555.687369277433, 1560.195097411792], [], []]]
[45, 151, 30.81, 27.92, [[], [1550.4165580902225, 1555.6880208508744, 1560.1976234477893], [], []]]
[45, 153, 31.23, 27.93, [[], [1550.4160804110847, 1555.6914389203425, 1560.1993510326931], [], []]]
[45, 155, 31.97, 27.98, [[], [1550.4154035761812, 1555.7019004584886, 1560.2026169489393], [], []]]
[45, 157, 32.34, 27.95, [[], [1550.4157562725413, 1555.7130126031511, 1560.2033245104465], [], []]]
[45, 159, 32.43, 27.86, [[], [1550.416676026538, 1555.7219251251875, 1560.206676816511], [], []]]
[45, 161, 32.28, 27.92, [[], [1550.4195094715278, 1555.7189214035932, 1560.2076780838836], [], []]]
[45, 163, 32.2, 27.9, [[], [1550.4217102203197, 1555.7165166476739, 1560.2115825050557], [], []]]
[45, 165, 32.26, 27.93, [[], [1550.424576318092, 1555.7122739875022, 1560.2114270155166], [], []]]
[45, 167, 32.12, 27.9, [[], [1550.4262823338695, 1555.7133045912383, 1560.2132583029218], [], []]]
[45, 169, 31.44, 27.96, [[], [1550.4263164539746, 1555.7192821268188, 1560.2149859258213], [], []]]
[45, 171, 30.75, 27.88, [[], [1550.4256852271105, 1555.7341230805757, 1560.2179920096453], [], []]]
[45, 173, 30.54, 27.88, [[], [1550.4251222422577, 1555.742299457852, 1560.2218100921573], [], []]]
[50, 135, 30.6, 27.88, [[], [1550.425378144967, 1555.746387682761, 1560.2198751285578], [], []]]
[50, 137, 30.64, 27.9, [[], [1550.4270997395217, 1555.7448110909477, 1560.2210277611935], [], []]]
[50, 139, 30.63, 27.85, [[], [1550.4299584428993, 1555.7406515519488, 1560.2215749753354], [], []]]
[50, 141, 30.6, 27.93, [[], [1550.4324240266092, 1555.736562237217, 1560.223572299929], [], []]]
[50, 143, 30.58, 27.9, [[], [1550.4350171971748, 1555.7378848834292, 1560.224176966837], [], []]]
[50, 145, 30.52, 27.82, [[], [1550.4367566148674, 1555.7412833794497, 1560.2264645944817], [], []]]
[50, 147, 30.51, 27.86, [[], [1550.4360237593082, 1555.748431808122, 1560.224090585704], [], []]]
[50, 149, 30.74, 27.83, [[], [1550.4355119475888, 1555.7563506782967, 1560.2259909957752], [], []]]
[50, 151, 31.14, 27.88, [[], [1550.4344905501819, 1555.7625376538997, 1560.2275237281056], [], []]]
[50, 153, 31.55, 27.8, [[], [1550.435118075368, 1555.766907927318, 1560.22923598122], [], []]]
[50, 155, 31.63, 27.8, [[], [1550.436399088809, 1555.767189869538, 1560.2361496740232], [], []]]
[50, 157, 31.4, 27.77, [[], [1550.4385869035534, 1555.7634678713348, 1560.2369676906146], [], []]]
[50, 159, 30.73, 27.72, [[], [1550.4402718108465, 1555.7589273345286, 1560.2377909584982], [], []]]
[50, 161, 30.22, 27.83, [[], [1550.4436768706746, 1555.756342087016, 1560.2385917053593], [], []]]
[50, 163, 30.8, 27.77, [[], [1550.4454723104238, 1555.7563245355768, 1560.2394213802822], [], []]]
[50, 165, 31.71, 27.77, [[], [1550.4460824121693, 1555.7605192635433, 1560.2421398416293], [], []]]
[50, 167, 32.12, 27.76, [[], [1550.446260065163, 1555.7662450865446, 1560.2438033127155], [], []]]
[50, 169, 32.22, 27.82, [[], [1550.4460824120074, 1555.7723839706377, 1560.2468354246926], [], []]]
[50, 171, 32.29, 27.76, [[], [1550.4446222469621, 1555.7791629747248, 1560.2486754242082], [], []]]
[50, 173, 32.36, 27.82, [[], [1550.4445710651814, 1555.7833201062524, 1560.2504895256347], [], []]]
[55, 135, 32.19, 27.76, [[], [1550.4447401876541, 1555.7858460634923, 1560.2450525123081], [], []]]
[55, 137, 31.79, 27.75, [[], [1550.4455420359734, 1555.7864954796664, 1560.2471178575638], [], []]]
[55, 139, 30.82, 27.75, [[], [1550.4466925162396, 1555.7843541655304, 1560.2450525118304], [], []]]
[55, 141, 30.26, 27.72, [[], [1550.448716799654, 1555.7806402997476, 1560.2476388030082], [], []]]
[55, 143, 31.07, 27.7, [[], [1550.4505252335196, 1555.7785617381828, 1560.2482262222215], [], []]]
[55, 145, 32.23, 27.7, [[], [1550.45279431273, 1555.7758475906464, 1560.2476388011198], [], []]]
[55, 147, 32.49, 27.69, [[], [1550.4512417851552, 1555.7777715414697, 1560.2503167393058], [], []]]
[55, 149, 32.05, 27.75, [[], [1550.456189411303, 1555.777737185051, 1560.2521999452565], [], []]]
[55, 151, 31.38, 27.75, [[], [1550.457196001901, 1555.7809323314054, 1560.253340240566], [], []]]
[55, 153, 30.95, 27.66, [[], [1550.4568202915332, 1555.7866358992337, 1560.255591141431], [], []]]
[55, 155, 30.82, 27.76, [[], [1550.4562235327314, 1555.7921497964685, 1560.2565365189103], [], []]]
[55, 157, 30.61, 27.76, [[], [1550.4557799511979, 1555.7972518247764, 1560.255828149066], [], []]]
[55, 159, 30.33, 27.72, [[], [1550.4553211635566, 1555.8019236592386, 1560.2571622567127], [], []]]
[55, 161, 30.21, 27.76, [[], [1550.4554557950257, 1555.804363784631, 1560.261322316707], [], []]]
[55, 163, 30.11, 27.73, [[], [1550.4557970120975, 1555.80630498337, 1560.2621170764244], [], []]]
[55, 165, 30.22, 27.67, [[], [1550.4558311335434, 1555.8064767708677, 1560.263879365894], [], []]]
[55, 167, 30.26, 27.67, [[], [1550.4570936361517, 1555.8067344527742, 1560.265589844196], [], []]]
[55, 169, 30.36, 27.67, [[], [1550.4583194246295, 1555.8046091413757, 1560.2660593537162], [], []]]
[55, 171, 30.33, 27.69, [[], [1550.4606029903384, 1555.8009407401023, 1560.2683189476263], [], []]]
[55, 173, 30.4, 27.7, [[], [1550.4627237415648, 1555.7981279248659, 1560.2705312142393], [], []]]
[60, 135, 30.72, 27.7, [[], [1550.4643615978123, 1555.7957916364815, 1560.2628945731985], [], []]]
[60, 137, 30.72, 27.67, [[], [1550.4657435412569, 1555.7953793510185, 1560.2634647045588], [], []]]
[60, 139, 30.49, 27.7, [[], [1550.4666648382092, 1555.797578208306, 1560.2650715047414], [], []]]
[60, 141, 30.48, 27.67, [[], [1550.4672096802728, 1555.800273758425, 1560.264788294757], [], []]]
[60, 143, 30.39, 27.69, [[], [1550.4678761754826, 1555.8030410217095, 1560.2661427146288], [], []]]
[60, 145, 30.27, 27.64, [[], [1550.4672794078779, 1555.8078387538765, 1560.2664653428596], [], []]]
[60, 147, 30.2, 27.66, [[], [1550.466913336748, 1555.8121390734457, 1560.2672950407698], [], []]]
[60, 149, 30.27, 27.66, [[], [1550.466835449109, 1555.8156503012838, 1560.268129613481], [], []]]
[60, 151, 30.44, 27.67, [[], [1550.4657776630738, 1555.819773271239, 1560.2690798596439], [], []]]
[60, 153, 30.97, 27.67, [[], [1550.4655558695097, 1555.822590644206, 1560.2718097269726], [], []]]
[60, 155, 31.73, 27.72, [[], [1550.4658848514866, 1555.8258300402886, 1560.272043764811], [], []]]
[60, 157, 32.28, 27.64, [[], [1550.46560705242, 1555.8271087726864, 1560.2734165306258], [], []]]
[60, 159, 32.27, 27.69, [[], [1550.4662334899979, 1555.8279363638771, 1560.275486086851], [], []]]
